Rank	Card Name	PWR	ADP	APR	Deals	Drafted	Plays	W-Hand	W-Play	WtdPWR	Elo/Play
169	Clearing Spade	3.46	4.04	7.83	33	23	18	11	8	3.03	2.72
170	Feed Pellets	3.46	4.14	7.58	33	29	26	9	8	3.64	0.76
171	Butter Churn	3.46	4.83	7.15	33	29	26	10	8	3.64	-0.90
172	Basketmaker's Wife	3.43	3.58	5.71	25	24	17	9	6	3.26	0.36
173	Piggy Bank	3.43	4.11	5.56	25	19	16	6	6	3.31	1.60
174	Wood Slide Hammer	3.40	2.32	9.54	21	19	13	6	5	3.13	1.09
175	Wood Workshop	3.40	2.62	6.65	21	21	17	6	5	3.40	-2.42
176	Sundial	3.40	4.29	6.60	21	17	10	6	5	2.52	3.17
177	Milking Parlor	3.40	4.92	10.00	21	13	9	7	5	2.59	2.74
178	Carpenter	3.38	3.53	4.52	38	32	21	11	9	2.78	3.99
179	Cesspit	3.36	1.80	3.83	17	15	12	5	4	3.19	-1.62
180	Hod	3.36	2.81	6.57	17	16	14	4	4	3.70	-1.51
181	Boar Spear	3.36	4.33	8.36	17	15	11	4	4	3.28	0.87
182	Potter's Yard	3.36	4.60	11.22	17	15	9	6	4	3.11	3.88
183	Cheese Fondue	3.36	6.33	10.78	17	12	9	6	4	3.11	6.13
184	Ropemaker	3.33	3.83	6.75	30	24	12	11	7	2.52	4.92
185	Ceilings	3.30	2.33	6.45	13	12	11	3	3	3.52	-3.07
186	Task Artisan	3.30	3.17	5.07	26	23	15	11	6	3.02	1.52
187	Hard Porcelain	3.30	3.91	8.53	26	23	17	8	6	3.13	0.91
188	Tasting	3.30	4.48	8.33	26	23	15	9	6	2.91	0.21
189	Hedge Keeper	3.27	3.56	10.39	48	43	28	16	11	2.89	1.11
190	Work Permit	3.25	3.28	4.18	22	18	11	8	5	2.73	0.61
191	Club House	3.25	4.00	5.00	22	19	15	5	5	2.99	0.70
192	Crack Weeder	3.25	5.00	7.69	22	17	16	6	5	3.44	-0.84
193	Plumber	3.23	3.66	8.77	31	29	13	12	7	2.49	4.51
194	Hardware Store	3.17	1.74	5.18	27	23	17	6	6	2.91	0.61
195	Carpenter's Axe	3.17	2.47	5.47	18	17	15	4	4	4.05	0.55
196	Informant	3.17	2.50	3.71	9	8	7	2	2	3.97	1.85
197	Hawktower	3.17	2.58	5.91	18	12	11	5	4	3.25	2.83
198	Lantern House	3.17	3.18	1.12	18	11	8	6	4	2.54	3.03
199	Skillful Renovator	3.17	3.38	9.00	27	24	16	9	6	2.54	-2.40
200	Scrap Collector	3.17	3.70	4.27	36	33	22	11	8	3.10	1.47
201	Horse-Drawn Boat	3.17	3.71	8.71	27	24	17	9	6	3.02	-1.22
202	Seaweed Fertilizer	3.17	3.72	9.42	18	18	12	5	4	2.70	-4.85
203	Fire Protection Pond	3.17	4.31	5.44	18	13	9	5	4	3.10	4.69
204	Wage	3.17	5.29	5.57	9	7	7	2	2	3.97	1.28
205	Potato Harvester	3.17	5.32	8.36	27	25	14	9	6	2.86	1.79
206	Stable	3.17	5.70	10.43	27	20	14	8	6	2.96	3.68
207	Cordmaker	3.11	1.55	3.35	23	22	17	5	5	3.73	0.47
208	Carrot Museum	3.11	2.61	7.14	23	18	14	7	5	2.80	-1.15
209	Freshman	3.06	1.79	1.69	14	14	13	3	3	4.08	-2.06
210	Estate Master	3.06	2.15	12.50	14	13	10	4	3	3.57	2.25
211	Supply Boat	3.06	3.00	7.05	28	25	22	6	6	3.37	-2.34
212	Reclamation Plow	3.06	3.82	8.64	14	11	11	3	3	3.88	0.47
213	Clay Kneader	3.03	3.80	4.95	33	30	19	11	7	2.94	2.59
214	Stone Axe	3.01	2.75	8.88	19	16	8	6	4	2.56	6.68
215	Alchemists Lab	3.01	3.08	10.25	19	12	8	4	4	2.56	3.22
216	Foreign Aid	3.01	4.75	4.43	19	8	7	4	4	2.18	2.88
217	Barn Cats	3.01	4.80	9.88	19	10	8	4	4	2.56	3.60
218	Pond Hut	2.99	4.05	6.43	43	39	30	13	9	3.16	0.43
219	Basket Weaver	2.98	3.91	8.80	24	23	15	8	5	2.74	-2.39
220	Christianity	2.98	4.21	10.40	24	19	15	6	5	2.74	-2.45
221	Sheep Agent	2.98	4.75	11.43	24	16	7	10	5	2.02	8.64
222	Gypsy's Crock	2.98	5.41	8.33	24	17	9	9	5	2.26	4.43
223	Fishing Net	2.96	3.60	6.59	29	25	17	10	6	3.00	3.39
224	Thresher	2.96	4.12	8.71	29	24	17	8	6	2.71	-0.86
225	Lord of the Manor	2.96	4.21	13.83	29	24	12	8	6	2.56	5.02
226	Field Cultivator	2.96	4.86	10.86	29	22	7	10	6	1.92	10.56
227	Handcart	2.96	5.12	6.24	29	24	17	9	6	2.51	-1.16
228	Greengrocer	2.94	2.83	8.07	34	30	14	10	7	2.31	4.06
229	Wildlife Reserve	2.94	4.12	9.53	34	25	15	10	7	2.44	3.42
230	Roof Ballaster	2.92	4.45	11.96	44	42	23	15	9	2.66	1.14
231	Contraband	2.86	2.40	3.12	20	20	16	7	4	3.43	-3.55
232	Double-Turn Plow	2.86	2.41	3.45	20	17	11	6	4	2.64	4.05
233	Bookmark	2.86	2.47	4.50	20	17	16	4	4	3.29	-2.95
234	Mineralogist	2.86	3.54	4.60	25	24	15	8	5	3.09	2.22
235	Overachiever	2.86	3.55	5.08	25	20	13	9	5	2.51	-2.41
236	Sculpture Course	2.86	3.60	6.17	15	10	6	5	3	2.19	2.21
237	Seed Almanac	2.86	3.67	9.50	20	15	6	8	4	2.14	9.50
238	Garden Hoe	2.86	3.71	7.62	15	14	8	4	3	2.76	2.72
239	Small Basket	2.86	3.85	9.00	15	13	8	4	3	2.57	2.68
240	Food Basket	2.86	4.27	10.33	15	11	9	4	3	3.05	1.84
241	Wild Greens	2.86	4.31	7.73	20	16	15	4	4	3.64	-0.04
242	Shoreforester	2.86	4.50	3.00	20	14	8	4	4	2.29	4.38
243	Private Forest	2.86	4.69	4.56	20	13	9	5	4	2.07	-1.38
244	Apiary	2.86	4.75	9.38	25	20	8	6	5	2.00	7.78
245	Schnapps Distiller	2.78	3.87	8.29	36	30	14	11	7	2.26	4.90
246	Bread Paddle	2.78	4.25	6.95	36	28	21	8	7	2.54	-2.62
247	Moldboard Plow	2.76	2.37	8.05	31	30	22	7	6	3.04	0.32
248	Wood Expert	2.76	4.40	4.75	31	25	16	9	6	2.76	3.42
249	Outskirts Director	2.75	2.67	3.15	26	21	13	7	5	2.53	0.93
250	Education Bonus	2.75	3.48	6.00	26	21	16	6	5	2.91	-0.32
251	Store of Experience	2.75	3.73	8.27	26	11	11	5	5	2.31	1.47
252	Chicken Coop	2.75	3.91	6.72	26	23	18	7	5	3.02	-0.99
253	Wolf	2.72	2.55	7.56	21	20	16	6	4	2.99	-2.55
254	Trowel	2.72	3.60	8.54	21	20	13	6	4	2.79	-1.31
255	Changeover	2.72	4.75	7.27	21	12	11	4	4	2.65	1.25
256	Recycled Brick	2.72	5.82	10.67	21	11	6	5	4	1.90	8.53
257	Lodger	2.68	3.00	4.78	32	29	18	12	6	2.41	-2.17
258	Muddy Puddles	2.68	3.36	9.33	16	14	12	3	3	3.48	-2.22
259	Seed Pellets	2.68	4.77	9.38	16	13	8	4	3	2.23	-3.59
260	Clay Carrier	2.68	5.10	7.56	32	30	16	12	6	2.59	2.65
261	Ravenous Hunger	2.68	5.39	10.25	32	18	12	8	6	2.05	3.48
262	Milking Place	2.65	4.58	10.12	27	12	8	7	5	1.96	13.54
263	Stonecutter	2.63	3.66	7.79	38	32	19	11	7	2.63	1.91
264	Three-Field Rotation	2.63	4.27	10.50	38	26	16	14	7	2.14	3.24
265	Field Watchman	2.60	1.53	5.37	33	32	30	6	6	3.90	-0.34
266	Homekeeper	2.60	3.42	9.90	22	19	10	8	4	2.47	3.24
267	Loom	2.60	3.45	8.73	33	29	22	7	6	3.38	1.26
268	Drudgery Reeve	2.60	4.60	5.78	22	15	9	7	4	2.27	5.86
269	Credit	2.60	4.86	8.29	11	7	7	2	2	2.99	-3.14
270	Handplow	2.56	3.42	4.73	39	33	30	9	7	3.19	-3.73
271	Forest Trader	2.55	2.52	4.59	28	27	22	7	5	2.81	-5.81
272	Herring Pot	2.55	3.36	6.00	28	22	14	7	5	2.19	-0.85
273	Writing Desk	2.55	3.81	7.44	28	21	18	6	5	2.91	-0.78
274	Site Manager	2.55	3.81	9.67	28	21	15	8	5	2.65	2.50
275	Woodcraft	2.52	2.94	4.08	17	16	12	4	3	3.11	-2.25
276	Bunk Beds	2.52	3.07	10.50	17	14	10	3	3	2.77	-1.13
277	Winter Caretaker	2.52	4.31	9.65	34	29	17	12	6	2.56	1.20
278	Roman Pot	2.52	4.77	8.40	17	13	10	3	3	2.61	-2.00
279	Town Hall	2.52	5.18	10.75	17	11	4	5	3	1.60	6.30
280	Night Loot	2.52	5.73	5.80	17	11	10	3	3	2.27	-4.38
281	Pitchfork	2.48	3.70	5.56	23	20	16	5	4	2.86	-2.02
282	Earth Oven	2.48	3.70	8.79	23	20	14	4	4	2.98	-0.06
283	Kindling Gatherer	2.46	2.59	3.62	29	27	13	13	5	1.97	-2.52
284	Lover	2.46	3.17	10.36	29	24	14	9	5	2.41	-1.10
285	Mason	2.46	3.48	12.29	29	25	14	6	5	2.22	-1.37
286	Estate Worker	2.46	3.52	4.44	29	27	16	7	5	2.71	1.06
287	Animal Reeve	2.46	3.85	7.40	29	26	15	9	5	2.46	1.84
288	Stable Master	2.46	4.48	8.00	29	21	12	8	5	2.12	0.59
289	Baking Sheet	2.46	5.06	6.31	29	18	13	5	5	2.17	0.42
290	Scullery	2.45	2.69	4.21	35	32	24	8	6	2.78	-3.30
291	Clay Deliveryman	2.45	3.58	5.65	35	33	17	16	6	2.41	0.87
292	Trade Teacher	2.38	1.00	3.20	6	6	5	1	1	3.33	-4.79
293	Animal Dealer	2.38	2.85	8.88	42	41	26	11	7	2.89	0.22
294	Baking Course	2.38	3.25	6.75	12	8	8	2	2	3.10	1.39
295	Twibil	2.38	3.36	4.83	18	11	6	5	3	1.83	-1.12
296	Ash Trees	2.38	3.45	11.25	12	11	8	3	2	3.10	-0.02
297	Stable Planner	2.38	3.90	2.79	24	20	14	4	4	2.74	0.12
298	Small Greenhouse	2.38	4.33	6.55	24	15	11	7	4	2.08	-0.89
299	Animal Bedding	2.38	4.62	11.29	24	16	7	6	4	1.85	4.56
300	Wood Saw	2.38	4.65	6.12	24	17	8	7	4	1.90	5.72
301	Field Spade	2.38	4.93	7.50	18	15	8	6	3	2.46	3.69
302	Furniture Maker	2.38	5.25	2.80	30	20	15	6	5	2.67	4.42
303	Feeding Dish	2.38	5.58	7.30	18	12	10	3	3	2.78	1.34
304	Bricklayer	2.33	3.18	6.21	43	38	29	9	7	2.99	-0.82
305	Conservator	2.33	3.59	11.62	43	39	21	11	7	2.19	-0.37
306	Den Builder	2.32	3.63	8.93	37	35	14	14	6	2.01	1.58
307	Reed Belt	2.29	4.00	6.40	25	19	10	6	4	2.06	1.80
308	Confidant	2.29	4.81	11.09	25	21	11	6	4	2.34	1.28
309	Straw Manure	2.29	5.29	10.92	25	17	12	6	4	2.40	0.61
310	Seed Servant	2.26	2.40	9.25	19	15	8	4	3	2.03	-0.36
311	Steam Plow	2.26	3.25	7.82	19	16	11	5	3	2.11	-5.86
312	Final Scenario	2.26	3.92	7.00	19	13	10	4	3	2.33	-2.25
313	Child's Toy	2.26	4.25	4.88	19	12	8	4	3	2.03	-0.59
314	Adoptive Parents	2.26	4.50	6.85	38	30	13	15	6	1.99	4.80
315	Moonshine	2.26	4.75	5.75	19	8	4	3	3	1.58	15.06
316	Water Gully	2.26	4.92	10.57	19	13	7	6	3	1.95	0.41
317	Corf	2.26	5.08	9.80	19	13	5	4	3	1.65	5.98
318	Potters Market	2.26	5.62	10.67	19	8	6	4	3	1.88	6.82
319	Lettuce Patch	2.23	3.24	10.15	32	29	26	7	5	3.35	-2.92
320	Corn Scoop	2.23	3.44	6.24	32	27	21	5	5	2.68	-2.77
321	Wood Cutter	2.22	2.39	3.06	45	44	34	10	7	2.83	-4.91
322	Calcium Fertilizers	2.20	4.88	3.67	13	8	6	2	2	1.98	-3.52
323	Potter Ceramics	2.16	3.38	4.42	33	29	26	8	5	2.81	-5.86
324	Seatmate	2.16	4.65	10.90	33	23	10	12	5	1.69	3.09
325	Cherry Orchard	2.14	3.44	5.14	20	18	14	5	3	2.93	-1.83
326	Drift-Net Boat	2.14	3.47	7.92	20	17	12	5	3	2.36	-3.13
327	Tea House	2.14	4.38	7.62	20	16	8	3	3	2.07	-0.06
328	Truffle Slicer	2.14	4.83	9.40	20	12	5	4	3	1.71	10.42
329	Tinsmith Master	2.12	4.14	10.71	27	22	7	8	4	1.64	6.65
330	Animal Activist	2.12	4.46	6.45	27	24	11	6	4	2.17	1.67
331	Sack Cart	2.12	4.61	6.45	27	18	11	4	4	2.06	1.25
332	Shifting Cultivator	2.12	4.82	8.17	27	17	6	7	4	1.48	4.11
333	Roof Examiner	2.12	6.12	8.80	27	17	5	9	4	1.32	8.12
334	Master Bricklayer	2.10	3.62	9.65	34	32	23	8	5	3.03	-1.10
335	Master Builder	2.09	4.96	12.73	41	27	11	9	6	1.50	2.72
336	Animal Feeder	2.04	2.48	4.64	21	21	14	6	3	2.52	-4.47
337	Shovel Bearer	2.04	2.70	3.53	21	20	15	4	3	2.86	-2.35
338	Plowman	2.04	3.14	2.48	35	28	21	8	5	2.61	-1.23
339	Hill Cultivator	2.04	3.61	6.00	21	18	11	5	3	2.31	-1.91
340	Clay Warden	2.04	3.75	4.00	21	16	7	4	3	2.04	3.40
341	Moral Crusader	2.04	3.88	1.78	28	16	9	7	4	1.79	5.15
342	Brotherly Love	2.04	4.22	8.80	14	9	5	4	2	1.73	3.24
343	Pigswill	2.04	4.25	10.12	14	12	8	6	2	2.04	-5.23
344	Pen Builder	2.04	4.42	10.33	21	12	6	4	3	1.70	7.19
345	Civic Facade	2.04	4.44	7.57	14	9	7	3	2	2.55	1.67
346	Land Register	2.04	4.50	9.83	14	12	6	4	2	2.45	5.70
347	Grassland Harrow	2.04	4.55	7.50	28	11	4	6	4	1.22	10.36
348	Clay Plasterer	2.04	4.67	8.82	28	21	11	6	4	1.89	-0.08
349	Gardening Head Official	2.04	4.70	5.43	28	23	14	6	4	2.04	-3.29
350	Angler	2.04	4.75	4.60	21	16	5	7	3	1.63	7.65
351	Land Surveyor	2.04	5.28	10.20	28	18	5	7	4	1.38	11.38
